Title,CompanyName,Reward,Link
AI DevOps,업스테이지,합격보상금 100만원,https://www.wanted.co.ker/wd/163297
데이터 엔지니어,미리디,합격보상금 100만원,https://www.wanted.co.ker/wd/241731
풀스택 웹 개발자 (Python/Django),웜블러드,합격보상금 100만원,https://www.wanted.co.ker/wd/142233
Senior Data Analyst,핌아시아,합격보상금 100만원,https://www.wanted.co.ker/wd/260464
"C#, C++, Python, IoT MCU(아두이노,RPi) 개발자",아이티로그,합격보상금 100만원,https://www.wanted.co.ker/wd/187186
소프트웨어 개발자,모빌리티랩,합격보상금 100만원,https://www.wanted.co.ker/wd/253040
임베디드 어플리케이션 개발자,유니크굿컴퍼니,합격보상금 100만원,https://www.wanted.co.ker/wd/256980
Backend 테크 리드,폰디,합격보상금 100만원,https://www.wanted.co.ker/wd/255133
데이터 분석가 (3년차 이상),파이프트리스마트팜(PAIPTREESmartFarmInc.),합격보상금 100만원,https://www.wanted.co.ker/wd/250669
Deep Researcher,월드퀀트(WorldQuant Research Korea),합격보상금 100만원,https://www.wanted.co.ker/wd/262141
[전문연구요원 가능] 영상처리 개발자,메디인테크,합격보상금 100만원,https://www.wanted.co.ker/wd/127019
AI Model Production (Document AI),업스테이지,합격보상금 100만원,https://www.wanted.co.ker/wd/134824
글로벌 백엔드 엔지니어 (Python),엘리스,합격보상금 100만원,https://www.wanted.co.ker/wd/182859
Quantitative Researcher,월드퀀트(WorldQuant Research Korea),합격보상금 100만원,https://www.wanted.co.ker/wd/262139
